Iteration,min
1,-6.5
2,-6.5
3,-6.5
4,-6.5
5,-8.6
6,-8.6
7,-8.6
8,-8.6
9,-8.6
10,-8.6
11,-8.6
12,-8.6
13,-8.6
14,-8.6
15,-8.6
16,-8.6
17,-8.6
18,-8.6
19,-8.6
20,-8.6
21,-8.6
22,-8.6
23,-8.6
24,-8.6
25,-8.6
26,-8.6
27,-8.6
28,-8.6
29,-8.6
30,-8.6
31,-8.6
32,-8.6
33,-8.6
34,-8.6
35,-8.6
36,-8.6
37,-8.6
38,-8.6
39,-8.6
40,-8.6
41,-8.6
42,-8.6
43,-8.6
44,-8.6
45,-8.6
46,-8.6
47,-8.6
48,-8.6
49,-8.6
50,-8.6
51,-8.6
52,-8.6
53,-8.6
54,-8.6
55,-8.6
56,-8.6
57,-8.6
58,-8.6
59,-8.6
60,-8.6
61,-8.6
62,-8.6
63,-8.6
64,-8.6
65,-8.6
66,-8.6
67,-8.6
68,-8.6
69,-8.6
70,-12.7
71,-12.7
72,-12.8
73,-12.8
74,-12.8
75,-12.8
76,-12.8
77,-12.9
78,-12.9
79,-12.9
80,-12.9
81,-12.9
82,-12.9
83,-12.9
84,-12.9
85,-12.9
86,-12.9
87,-12.9
88,-12.9
89,-12.9
90,-13.1
91,-13.1
92,-13.1
93,-13.1
94,-13.1
95,-13.1
96,-13.1
97,-13.1
98,-13.1
99,-13.1
100,-13.1
101,-13.1
102,-13.1
103,-13.1
104,-13.1
105,-13.1
106,-13.1
107,-13.1
108,-13.1
109,-13.1
110,-13.1
111,-13.1
112,-13.1
113,-13.1
114,-13.1
115,-13.1
116,-13.1
117,-13.1
118,-13.1
119,-13.1
120,-13.1
121,-13.1
122,-13.1
123,-13.1
124,-13.1
125,-13.6
126,-13.6
127,-13.6
128,-13.6
129,-13.6
130,-13.6
131,-13.6
132,-13.6
133,-13.6
134,-13.6
135,-13.6
136,-13.6
137,-13.6
138,-13.6
139,-13.6
140,-13.6
141,-14.8
142,-14.8
143,-14.8
144,-14.8
145,-14.8
146,-14.8
147,-14.8
148,-14.8
149,-14.8
150,-15.7
151,-15.7
152,-15.7
153,-15.7
154,-15.7
155,-15.7
156,-15.7
157,-15.7
158,-15.7
159,-15.7
160,-15.7
161,-15.7
162,-15.7
163,-15.7
164,-15.7
165,-15.7
166,-15.7
167,-15.7
168,-15.7
169,-15.7
170,-15.7
171,-15.7
172,-15.7
173,-15.7
174,-15.7
175,-15.7
176,-15.7
177,-15.7
178,-15.7
179,-15.7
180,-15.7
181,-15.7
182,-15.7
183,-15.7
184,-15.7
185,-15.7
186,-15.7
187,-15.7
188,-15.7
189,-15.7
190,-15.7
191,-15.7
192,-15.7
193,-15.7
194,-15.7
195,-15.7
196,-15.7
197,-15.7
198,-15.7
199,-15.7
200,-15.7
201,-15.7
202,-15.7
203,-15.7
204,-15.7
205,-15.7
206,-15.7
207,-15.7
208,-15.7
209,-15.7
210,-15.7
211,-15.7
212,-15.7
213,-15.7
214,-15.7
215,-15.7
216,-15.7
217,-15.7
218,-15.7
219,-15.7
220,-15.7
221,-15.7
222,-15.7
223,-17.0
224,-17.0
225,-17.0
226,-17.0
227,-17.0
228,-17.0
229,-17.0
230,-17.0
231,-17.0
232,-17.0
233,-17.0
234,-17.0
235,-17.0
236,-17.0
237,-17.0
238,-17.0
239,-17.0
240,-17.0
241,-17.0
242,-17.0
243,-17.0
244,-17.0
245,-17.0
246,-17.0
247,-17.0
248,-17.0
249,-17.0
250,-17.0
251,-17.0
252,-17.0
253,-17.0
254,-17.0
255,-17.0
256,-17.0
257,-17.0
258,-17.0
259,-17.0
260,-17.0
261,-17.0
262,-17.0
263,-17.0
264,-17.0
265,-17.0
266,-17.0
267,-17.0
268,-17.0
269,-17.0
270,-17.0
271,-17.0
272,-17.0
273,-17.0
274,-17.0
275,-17.0
276,-17.0
277,-17.0
278,-17.0
279,-17.0
280,-17.0
281,-17.0
282,-17.0
283,-17.0
284,-17.0
285,-17.0
286,-17.0
287,-17.0
288,-17.0
289,-17.0
290,-17.0
291,-17.0
292,-17.0
293,-17.0
294,-17.0
295,-17.0
296,-17.0
297,-17.0
298,-17.0
299,-17.0
300,-17.0
301,-17.0
302,-17.0
303,-17.0
304,-17.0
305,-17.0
306,-17.0
307,-17.0
308,-17.0
309,-17.0
310,-17.0
311,-17.0
312,-17.0
313,-17.0
314,-17.0
315,-17.0
316,-17.0
317,-17.0
318,-17.0
319,-17.0
320,-17.0
321,-17.0
322,-17.0
323,-17.0
324,-17.0
325,-17.0
326,-17.0
327,-17.0
328,-17.0
329,-17.0
330,-17.0
331,-17.0
332,-17.0
333,-17.0
334,-17.0
335,-17.0
336,-17.0
337,-17.0
338,-17.0
339,-17.0
340,-17.0
341,-17.0
342,-17.0
343,-17.0
344,-17.0
345,-17.0
346,-17.0
347,-17.0
348,-17.0
349,-17.0
350,-17.0
351,-17.0
352,-17.0
353,-17.0
354,-17.0
355,-17.0
356,-17.0
357,-17.0
358,-17.0
359,-17.0
360,-17.0
361,-17.0
362,-17.0
363,-17.0
364,-17.0
365,-17.0
366,-17.0
367,-17.0
368,-17.0
369,-17.0
370,-17.0
