,Iter,best_vals,current_vals
0,0.0,-8.6,-1.1
1,1.0,-8.6,-1.1
2,2.0,-8.6,-7.0
3,3.0,-8.6,-2.5
4,4.0,-8.6,-0.5
5,5.0,-8.6,-4.6
6,6.0,-8.6,-3.9
7,7.0,-8.6,-2.2
8,8.0,-8.6,-7.3
9,9.0,-8.6,-4.0
10,10.0,-8.6,-3.2
11,11.0,-8.6,-3.3
12,12.0,-8.6,-2.1
13,13.0,-8.6,-5.8
14,14.0,-8.6,-1.3
15,15.0,-8.6,-2.5
16,16.0,-8.6,-4.9
17,17.0,-8.6,-5.0
18,18.0,-8.6,-4.4
19,19.0,-8.6,-3.7
20,20.0,-8.6,-6.1
21,21.0,-8.6,-0.9
22,22.0,-8.6,-7.4
23,23.0,-8.6,-1.1
24,24.0,-8.6,-1.7
25,25.0,-9.3,-9.3
26,26.0,-9.3,-2.6
27,27.0,-9.3,-1.9
28,28.0,-9.3,-3.4
29,29.0,-9.3,-6.6
30,30.0,-9.3,-0.4
31,31.0,-9.3,0.0
32,32.0,-9.3,-7.4
33,33.0,-9.3,-7.5
34,34.0,-9.3,-6.6
35,35.0,-9.3,-0.2
36,36.0,-9.3,0.0
37,37.0,-9.3,-8.0
38,38.0,-9.3,-2.9
39,39.0,-9.3,-9.2
40,40.0,-9.3,-3.4
41,41.0,-9.3,-6.7
42,42.0,-9.3,-3.2
43,43.0,-9.3,-6.3
44,44.0,-9.3,-5.0
45,45.0,-9.6,-9.6
46,46.0,-9.6,-2.0
47,47.0,-9.6,0.0
48,48.0,-9.6,-7.8
49,49.0,-9.6,-5.6
50,50.0,-9.6,-3.0
51,51.0,-9.6,-0.9
52,52.0,-9.6,-5.7
53,53.0,-9.6,-9.6
54,54.0,-9.6,-8.4
55,55.0,-9.6,-3.2
56,56.0,-9.6,-3.7
57,57.0,-9.6,-2.9
58,58.0,-9.6,-2.2
59,59.0,-9.6,-7.3
60,60.0,-9.6,-1.1
61,61.0,-9.6,-2.9
62,62.0,-9.6,-4.8
63,63.0,-9.6,-5.8
64,64.0,-9.6,-4.7
65,65.0,-9.6,-4.2
66,66.0,-9.6,-0.1
